"Flower_index","Compound","Rater","Type","Garden","Subplot","Day","Width"
"18231","1","1","1",1,"1",0,3.2
"18773","1","1","1",1,"2",0,2.4
"18503","1","1","1",1,"3",0,3.5
"18561","1","1","1",2,"4",0,2.2
"18910","1","1","1",2,"5",0,3.8
"18339","1","1","1",2,"6",0,3.3
"18548","1","1","2",1,"7",0,4.9
"18252","1","1","2",1,"8",0,5.2
"18751","1","1","2",1,"9",0,5.4
"18525","1","1","2",2,"10",0,5.1
"18891","1","1","2",2,"11",0,4.8
"18911","1","1","2",2,"12",0,5.9
"18844","2","1","1",1,"13",0,2.9
"18898","2","1","1",1,"14",0,2.1
"18531","2","1","1",1,"15",0,0.3
"18654","2","1","1",2,"16",0,1.9
"18295","2","1","1",2,"17",0,0.7
"18416","2","1","1",2,"18",0,0.7
"18218","2","1","2",1,"1",0,4.8
"18568","2","1","2",1,"2",0,3
"18334","2","1","2",1,"3",0,4.5
"18540","2","1","2",2,"4",0,4.5
"18662","2","1","2",2,"5",0,4
"18101","2","1","2",2,"6",0,5
"18459","3","1","1",1,"7",0,3.1
"18055","3","1","1",1,"8",0,2.9
"18095","3","1","1",1,"9",0,2.4
"18551","3","1","1",2,"10",0,2.7
"18320","3","1","1",2,"11",0,2.6
"18922","3","1","1",2,"12",0,3.8
"18549","3","1","2",1,"13",0,5
"18213","3","1","2",1,"14",0,4.3
"18784","3","1","2",1,"15",0,4.5
"18917","3","1","2",2,"16",0,4.2
"18819","3","1","2",2,"17",0,4.6
"18664","3","1","2",2,"18",0,4.6
"18465","4","1","1",1,"1",0,3.9
"18851","4","1","1",1,"2",0,2.2
"18016","4","1","1",1,"3",0,2.9
"18759","4","1","1",2,"4",0,3.6
"18693","4","1","1",2,"5",0,3.1
"18317","4","1","1",2,"6",0,4.2
"18194","4","1","2",1,"7",0,6.6
"18243","4","1","2",1,"8",0,5.9
"18285","4","1","2",1,"9",0,5.7
"18595","4","1","2",2,"10",0,5.1
"18530","4","1","2",2,"11",0,4.9
"18070","4","1","2",2,"12",0,6.6
"18222","5","1","1",1,"13",0,4.2
"18997","5","1","1",1,"14",0,2.7
"18196","5","1","1",1,"15",0,2.4
"18161","5","1","1",2,"16",0,3.1
"18186","5","1","1",2,"17",0,3.2
"18633","5","1","1",2,"18",0,3.8
"18800","5","1","2",1,"1",0,5.4
"18298","5","1","2",1,"2",0,4.3
"18704","5","1","2",1,"3",0,5
"18344","5","1","2",2,"4",0,5.1
"18428","5","1","2",2,"5",0,4.7
"18653","5","1","2",2,"6",0,5.1
"18923","6","1","1",1,"7",0,0.9
"18775","6","1","1",1,"8",0,0.7
"18599","6","1","1",1,"9",0,1.1
"18639","6","1","1",2,"10",0,1.7
"18448","6","1","1",2,"11",0,1.5
"18117","6","1","1",2,"12",0,1.9
"18570","6","1","2",1,"13",0,3.6
"18785","6","1","2",1,"14",0,3.9
"18954","6","1","2",1,"15",0,2.3
"18346","6","1","2",2,"16",0,2.7
"18313","6","1","2",2,"17",0,2.4
"18289","6","1","2",2,"18",0,3.2
"18451","7","1","1",1,"1",0,3.4
"18369","7","1","1",1,"2",0,2.2
"18272","7","1","1",1,"3",0,4.1
"18524","7","1","1",2,"4",0,3.4
"18473","7","1","1",2,"5",0,3.8
"18725","7","1","1",2,"6",0,4
"18770","7","1","2",1,"7",0,5.3
"18779","7","1","2",1,"8",0,6
"18327","7","1","2",1,"9",0,4.6
"18620","7","1","2",2,"10",0,4.2
"18736","7","1","2",2,"11",0,5
"18745","7","1","2",2,"12",0,5.5
"18414","8","1","1",1,"13",0,4.3
"18581","8","1","1",1,"14",0,3.8
"18841","8","1","1",1,"15",0,3.6
"18519","8","1","1",2,"16",0,4.2
"18655","8","1","1",2,"17",0,2.6
"18674","8","1","1",2,"18",0,2.9
"18658","8","1","2",1,"1",0,5.4
"18761","8","1","2",1,"2",0,4.1
"18452","8","1","2",1,"3",0,3.5
"18247","8","1","2",2,"4",0,5.6
"18685","8","1","2",2,"5",0,5.1
"18724","8","1","2",2,"6",0,6.3
"18172","9","1","1",1,"7",0,2.6
"18413","9","1","1",1,"8",0,2.4
"18234","9","1","1",1,"9",0,3.6
"18890","9","1","1",2,"10",0,3.4
"18392","9","1","1",2,"11",0,2.8
"18023","9","1","1",2,"12",0,3
"18722","9","1","2",1,"13",0,4.9
"18137","9","1","2",1,"14",0,3.2
"18520","9","1","2",1,"15",0,5.7
"18813","9","1","2",2,"16",0,4.3
"18420","9","1","2",2,"17",0,4.7
"18757","9","1","2",2,"18",0,5.4
"18225","10","1","1",1,"1",0,3.4
"18906","10","1","1",1,"2",0,3.7
"18034","10","1","1",1,"3",0,1.6
"18619","10","1","1",2,"4",0,3.1
"18557","10","1","1",2,"5",0,3.6
"18429","10","1","1",2,"6",0,4
"18018","10","1","2",1,"7",0,6.6
"18544","10","1","2",1,"8",0,6.4
"18330","10","1","2",1,"9",0,5
"18807","10","1","2",2,"10",0,6.1
"18765","10","1","2",2,"11",0,4.7
"18415","10","1","2",2,"12",0,5.8
"18853","11","1","1",1,"13",0,3.8
"18706","11","1","1",1,"14",0,3
"18495","11","1","1",1,"15",0,4
"18292","11","1","1",2,"16",0,3.5
"18889","11","1","1",2,"17",0,3.3
"18883","11","1","1",2,"18",0,2.9
"18905","11","1","2",1,"1",0,5.7
"18675","11","1","2",1,"2",0,4.9
"18326","11","1","2",1,"3",0,4.3
"18434","11","1","2",2,"4",0,4.4
"18573","11","1","2",2,"5",0,5.8
"18177","11","1","2",2,"6",0,4.5
"18145","12","1","1",1,"7",0,3.9
"18028","12","1","1",1,"8",0,3.2
"18469","12","1","1",1,"9",0,4.8
"18180","12","1","1",2,"10",0,4.3
"18013","12","1","1",2,"11",0,3.4
"18553","12","1","1",2,"12",0,3.1
"18808","12","1","2",1,"13",0,4.8
"18583","12","1","2",1,"14",0,4.3
"18990","12","1","2",1,"15",0,5.6
"18508","12","1","2",2,"16",0,5.9
"18562","12","1","2",2,"17",0,5.2
"18005","12","1","2",2,"18",0,4.4
"18554","13","1","1",1,"1",0,3
"18886","13","1","1",1,"2",0,2.4
"18082","13","1","1",1,"3",0,2.6
"18111","13","1","1",2,"4",0,2.8
"18606","13","1","1",2,"5",0,1.6
"18585","13","1","1",2,"6",0,3.1
"18586","13","1","2",1,"7",0,5.5
"18097","13","1","2",1,"8",0,5.5
"18983","13","1","2",1,"9",0,4.8
"18146","13","1","2",2,"10",0,5.6
"18394","13","1","2",2,"11",0,5.3
"18949","13","1","2",2,"12",0,6.4
"18527","14","1","1",1,"13",0,2.4
"18128","14","1","1",1,"14",0,3.7
"18069","14","1","1",1,"15",0,2.5
"18347","14","1","1",2,"16",0,3.7
"18127","14","1","1",2,"17",0,2.7
"18021","14","1","1",2,"18",0,3.3
"18039","14","1","2",1,"1",0,5.9
"18926","14","1","2",1,"2",0,4.8
"18462","14","1","2",1,"3",0,3.1
"18790","14","1","2",2,"4",0,5.5
"18699","14","1","2",2,"5",0,5.6
"18293","14","1","2",2,"6",0,6.5
